xai,model,contrastive,class,words,top5POS
gi_norm,gpt2-small,False,nurse,"['Physicians', 'Specialty', 'doctors', 'NURSE', 'PRACTITIONER']","['PROPN', 'PROPN', 'NOUN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,nurse,"['This', 'workshop', '.', 'Nursing', 'Doctor']","['DET', 'NOUN', 'PUNCT', 'PROPN', 'NOUN']"
gi_norm,gpt2-small,False,nurse,"['She', 'Pamela', 'Pharmaceuticals', 'Medical', 'nurse']","['PRON', 'PROPN', 'PROPN', 'PROPN', 'NOUN']"
gi_norm,gpt2-small,False,psychologist,"['Consultation', 'She', 'Intervention', 'Behavior', 'Autism']","['PROPN', 'PRON', 'PROPN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,dentist,"['.', 'BDS', 'Dental', 'Care', 'Dr.']","['PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,surgeon,"['president', 'British', '.', 'Orthopaedic', 'Additionally']","['NOUN', 'PROPN', 'PUNCT', 'PROPN', 'ADV']"
gi_norm,gpt2-small,False,psychologist,"['.', 'Megan', 'Psychology', 'psychologists', 'psychologist']","['PUNCT', 'PROPN', 'PROPN', 'NOUN', 'NOUN']"
gi_norm,gpt2-small,False,psychologist,"['Catastrophic', 'Dr.', 'depression', 'Humana', 'Areas']","['PROPN', 'PROPN', 'NOUN', 'PROPN', 'NOUN']"
gi_norm,gpt2-small,False,psychologist,"['Lifespan', 'Social', 'Conscience', 'Vocation', 'Tortured']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,physician,"['professional', 'License', 'NPI', 'credentials', 'MD']","['ADJ', 'PROPN', 'PROPN', 'NOUN', 'PROPN']"
gi_norm,gpt2-small,False,dentist,"['BDS', 'Dr.', 'etc', 'Dentistry', 'Dental']","['PROPN', 'PROPN', 'X', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,dentist,"['Inc.', 'etc', 'Dr.', 'Tooth', 'Dental']","['PROPN', 'X', 'PROPN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,physician,"['.', 'Dr.', 'HMO', 'Humana', 'Medical']","['PUNCT', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,dentist,"['.', 'Dental', 'Dentist', 'Lybrate.com', 'He']","['PUNCT', 'PROPN', 'NOUN', 'PROPN', 'PRON']"
gi_norm,gpt2-small,False,psychologist,"['demons', 'Dr.', 'Lightman', 'dark', 'past']","['NOUN', 'PROPN', 'PROPN', 'ADJ', 'NOUN']"
gi_norm,gpt2-small,False,dentist,"['.', 'dental', 'Krishna', 'Lybrate.com', 'He']","['PUNCT', 'ADJ', 'PROPN', 'PROPN', 'PRON']"
gi_norm,gpt2-small,False,psychologist,"['depression', 'eating', 'psychology', 'mental', 'disorders']","['NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN']"
gi_norm,gpt2-small,False,physician,"['fellow', 'professionals', 'patients', 'medical', 'Dr.']","['ADJ', 'NOUN', 'NOUN', 'ADJ', 'PROPN']"
gi_norm,gpt2-small,False,physician,"['Mr.', 'registry', 'Primary', 'practice', 'Care']","['PROPN', 'NOUN', 'PROPN', 'NOUN', 'PROPN']"
gi_norm,gpt2-small,False,physician,"['NPI', 'MO', 'registry', 'Mr.', 'practice']","['PROPN', 'PROPN', 'NOUN', 'PROPN', 'NOUN']"
gi_norm,gpt2-small,False,dentist,"['BDS', '.', 'Dental', 'Dentia', 'Dr.']","['PROPN', 'PUNCT', 'PROPN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,psychologist,"['Counseling', 'Psychology', 'Degrees', 'Doctorate', 'Clinical']","['PROPN', 'PROPN', 'PROPN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,nurse,"['She', 'doctors', 'PRACTITIONER', 'NURSE', 'Hospital']","['PRON', 'NOUN', 'NOUN', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,surgeon,"['conservative', 'He', 'orthopedic', 'patients', 'surgical']","['ADJ', 'PRON', 'ADJ', 'NOUN', 'ADJ']"
gi_norm,gpt2-small,False,physician,"['Assistants', 'Nutrition', 'Physician', 'Masters', 'Physician']","['PROPN', 'PROPN', 'PROPN', 'NOUN', 'PROPN']"
gi_norm,gpt2-small,False,psychologist,"['for', 'She', 'www.psicologiaperinatale.it', 'parenting', 'girls']","['ADP', 'PRON', 'PROPN', 'NOUN', 'NOUN']"
gi_norm,gpt2-small,False,surgeon,"['selected', 'the', 'He', 'surgeons', 'plastic']","['VERB', 'DET', 'PRON', 'NOUN', 'NOUN']"
gi_norm,gpt2-small,False,nurse,"['has', 'Darla', 'hospital', 'acute', 'care']","['AUX', 'PROPN', 'NOUN', 'ADJ', 'NOUN']"
gi_norm,gpt2-small,False,nurse,"['When', 'scrolls', 'flees', 'writings', '.']","['ADV', 'NOUN', 'VERB', 'NOUN', 'PUNCT']"
gi_norm,gpt2-small,False,nurse,"['She', 'psychiatric', 'nurse', 'Nursing', '.']","['PRON', 'ADJ', 'NOUN', 'PROPN', 'PUNCT']"
gi_norm,gpt2-small,False,nurse,"['doctors', 'graduated', '.', 'NURSE', 'PRACTITIONER']","['NOUN', 'VERB', 'PUNCT', 'PROPN', 'PROPN']"
gi_norm,gpt2-small,False,psychologist,"['diagnostic', 'Psychology', 'Clinical', 'psychotherapy', '.']","['ADJ', 'PROPN', 'PROPN', 'NOUN', 'PUNCT']"
gi_norm,gpt2-small,False,nurse,"['.', 'owner', 'consultant', 'Sculpt', 'Health']","['PUNCT', 'NOUN', 'NOUN', 'PROPN', 'PROPN']"
