,QID,text_id,sentence,original_label,label,label_index,rationale,rationale_index,age,ethnicity,gender,english_proficiency,attentioncheck,originaldata_id,group_id,recruitment_ethnicity,recruitment_age,annotator_ID
0,QID9,0,"Eating is part of living , but your body does n't use it all and the next day you will be doing what ?",E,defecating,5,"body,does,n't,use,next,day","9,10,11,12,17,18",40,Black/African American,Female,Very well,PASSED,001b0f5a841fd81d13fbe67c7c7179d6,BO,Black/African American,>=38,206
1,QID11,1,Where would you get a pen if you do not have one ?,C,desk drawer,2,"Where,get,pen,do,not,have","1,4,6,9,10,11",40,Black/African American,Female,Very well,PASSED,004607228ad49b69eac932c1005d6106,BO,Black/African American,>=38,206
2,QID13,2,"John is sitting in a toilet stall in a bathroom , outside he can hear cars going around in circles . What is the function of the place he is most likely at ?",C,race track,3,"bathroom,outside,cars,going,around,in,circles","10,12,16,17,18,19,20",40,Black/African American,Female,Very well,PASSED,008b7ba0c039f6d0d542c6c90aae173c,BO,Black/African American,>=38,206
3,QID15,3,Where would you find a large dining room containing a fancy chandelier ?,A,mansion,1,"large,dining,room,fancy,chandelier","6,7,8,11,12",40,Black/African American,Female,Very well,PASSED,01abce8c4964371d85a5be2019f75827,BO,Black/African American,>=38,206
4,QID17,4,What happens to a dog before someone puts up posters of them ?,A,get lost,1,"someone,puts,up,posters","7,8,9,10",40,Black/African American,Female,Very well,PASSED,01f01cc3ad152773ef42b30e926912bf,BO,Black/African American,>=38,206
5,QID19,5,Where are horses judged on appearance ?,B,in a field,4,"judged,appearance,?","4,6,7",40,Black/African American,Female,Very well,PASSED,026cb9c07a583ec933f2c4c67ae73836,BO,Black/African American,>=38,206
6,QID21,6,How might a automobile get off a freeway ?,A,exit ramp,1,"automobile,get,off,freeway","4,5,6,8",40,Black/African American,Female,Very well,PASSED,02f43014a135cbd39f23b044c99de96e,BO,Black/African American,>=38,206
7,QID23,7,Where are required to carry books all day ?,B,university,2,"required,carry,books,day","3,5,6,8",40,Black/African American,Female,Very well,PASSED,03f06f77aaf80b5f5e296ffbd11e9d82,BO,Black/African American,>=38,206
8,QID25,8,"Nature can be good and bad for the person who walks , what are some things ?",B,see beautiful views,2,"person,who,walks","9,10,11",40,Black/African American,Female,Very well,PASSED,047c2d8c65d297b39aa42821c1ca76a9,BO,Black/African American,>=38,206
9,QID27,9,What can you use to store a book while traveling ?,D,backpack,3,"use,to,store,book,traveling","4,5,6,8,10",40,Black/African American,Female,Very well,PASSED,05490e6c191fbc3c2fe0033ed0bd8aa0,BO,Black/African American,>=38,206
10,QID29,10,Where would stones not be arranged in a path ?,B,quarries,1,"arranged,in,a,path","6,7,8,9",52,Black/African American,Female,Very well,PASSED,056b33c7050c167b0d4348d40d169358,BO,Black/African American,>=38,210
11,QID31,11,What do you use to carry your briefcase ?,E,hand,5,"use,carry,your","4,6,7",52,Black/African American,Female,Very well,PASSED,0611dfbf5114084723d75f59b4f67412,BO,Black/African American,>=38,210
12,QID33,12,John bought a new water hose . But he found his old one near his car . Where did he find the old one ?,D,garage,4,"near,his,car","14,15,16",52,Black/African American,Female,Very well,PASSED,061f326d2a87a10da6316b55bd5522bd,BO,Black/African American,>=38,210
13,QID35,13,Joe plays a percussion instrument in something . What might be play in ?,D,marching band,3,"percussion,something","4,7",52,Black/African American,Female,Very well,PASSED,07fd8b0aed06406fedb137d11b07a890,BO,Black/African American,>=38,210
14,QID37,14,"His phone was dead and they could n't find the expressway , he opened up the glove compartment and handed his passenger the what to navigate ?",C,map,3,"find,the,expressway,the,glove,compartment,navigate","9,10,11,16,17,18,26",52,Black/African American,Female,Very well,PASSED,0843c51212a3c2eee660fab5648c9e19,BO,Black/African American,>=38,210
15,QID39,15,Where would you find many varieties of plants including a rosebush ?,E,beautiful garden,5,"many,varieties,plants,rosebush","5,6,8,11",52,Black/African American,Female,Very well,PASSED,08d3175de59a639be02f2ebc032d56bd,BO,Black/African American,>=38,210
16,QID41,16,"I am cold , what should I do to stay warm ?",B,light fire,2,"do,to,stay,warm","8,9,10,11",52,Black/African American,Female,Very well,PASSED,08d908ed723f813574992195d61386a2,BO,Black/African American,>=38,210
17,QID43,17,What could happen to a cat other than wanting food ?,B,thirsty,2,"other,than,wanting,food","7,8,9,10",52,Black/African American,Female,Very well,PASSED,094fe91b20b03c647325fa2ee94470b3,BO,Black/African American,>=38,210
