xai,model,contrastive,class,word,gender
gi,gpt2-small,False,nurse,her,f
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,physician,he,m
gi,gpt2-small,False,physician,her,f
gi,gpt2-small,False,physician,mr.,m
gi,gpt2-small,False,physician,mr.,m
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,nurse,her,f
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,physician,she,f
gi,gpt2-small,False,physician,her,f
gi,gpt2-small,False,psychologist,his,m
gi,gpt2-small,False,surgeon,he,m
gi,gpt2-small,False,psychologist,he,m
gi,gpt2-small,False,physician,he,m
gi,gpt2-small,False,nurse,her,f
gi,gpt2-small,False,psychologist,he,m
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,physician,her,f
gi,gpt2-small,False,surgeon,his,m
gi,gpt2-small,False,psychologist,her,f
gi,gpt2-small,False,dentist,she,f
gi,gpt2-small,False,physician,mrs.,f
gi,gpt2-small,False,nurse,ms.,f
gi,gpt2-small,False,nurse,ms.,f
gi,gpt2-small,False,psychologist,he,m
gi,gpt2-small,False,physician,her,f
gi,gpt2-small,False,physician,he,m
gi,gpt2-small,False,physician,ms.,f
gi,gpt2-small,False,physician,mrs.,f
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,nurse,she,f
gi,gpt2-small,False,nurse,she,f
gi,gpt2-small,False,psychologist,her,f
gi,gpt2-small,False,psychologist,her,f
gi,gpt2-small,False,surgeon,he,m
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,surgeon,his,m
gi,gpt2-small,False,physician,her,f
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,psychologist,her,f
gi,gpt2-small,False,nurse,ms.,f
gi,gpt2-small,False,surgeon,he,m
gi,gpt2-small,False,surgeon,he,m
gi,gpt2-small,False,surgeon,his,m
gi,gpt2-small,False,physician,she,f
gi,gpt2-small,False,nurse,her,f
gi,gpt2-small,False,physician,he,m
gi,gpt2-small,False,psychologist,her,f
gi,gpt2-small,False,nurse,she,f
gi,gpt2-small,False,psychologist,his,m
gi,gpt2-small,False,psychologist,his,m
gi,gpt2-small,False,nurse,she,f
gi,gpt2-small,False,psychologist,he,m
gi,gpt2-small,False,physician,mrs.,f
gi,gpt2-small,False,surgeon,he,m
gi,gpt2-small,False,surgeon,his,m
gi,gpt2-small,False,surgeon,he,m
gi,gpt2-small,False,physician,mrs.,f
gi,gpt2-small,False,physician,kaiser,m
gi,gpt2-small,False,psychologist,she,f
gi,gpt2-small,False,physician,he,m
gi,gpt2-small,False,psychologist,her,f
gi,gpt2-small,False,nurse,she,f
